hour,12TH,16TH,19TH,24TH,ASHB,BALB,BAYF,CAST,CIVC,COLM,COLS,CONC,DALY,DBRK,DELN,DUBL,EMBR,FRMT,FTVL,GLEN,HAYW,LAFY,LAKE,MCAR,MLBR,MONT,NBRK,NCON,ORIN,PHIL,PITT,PLZA,POWL,RICH,ROCK,SANL,SBRN,SFIA,SHAY,SSAN,UCTY,WCRK,WDUB,WOAK,MCAR_S,19TH_N
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,15,26,10,27,9,16,9,4,30,4,20,7,13,30,12,11,51,10,14,11,6,5,9,14,9,32,7,2,3,6,8,7,75,7,10,7,5,15,3,3,5,10,4,11,14,10
5,30,52,20,55,18,33,19,8,61,9,40,14,27,60,25,23,103,21,28,23,12,10,19,29,19,64,15,4,7,13,16,14,150,14,21,15,10,31,7,7,10,20,9,22,29,20
6,77,131,52,137,45,84,48,20,154,24,102,37,68,152,63,57,259,54,71,57,32,25,47,74,49,160,39,11,18,34,40,35,376,36,52,39,26,79,19,18,26,51,24,55,74,52
7,154,263,104,275,91,169,96,41,309,48,204,74,136,304,127,115,519,108,142,115,64,51,95,148,98,321,78,22,37,68,80,71,752,72,105,78,53,159,38,36,52,102,48,110,148,104
8,463,790,314,826,274,508,288,125,927,144,614,222,410,914,382,347,1559,325,427,346,192,154,286,444,296,964,236,68,113,204,241,214,2258,216,316,236,159,479,115,110,157,307,146,332,444,314
9,618,1053,418,1102,366,677,384,167,1236,192,819,296,547,1219,510,463,2079,433,569,461,257,205,382,592,394,1285,315,91,151,273,321,286,3011,288,421,315,213,639,153,147,209,409,195,442,592,418
10,309,526,209,551,183,338,192,83,618,96,409,148,273,609,255,231,1039,216,284,230,128,102,191,296,197,642,157,45,75,136,160,143,1505,144,210,157,106,319,76,73,104,204,97,221,296,209
11,231,395,157,413,137,254,144,62,463,72,307,111,205,457,191,173,779,162,213,173,96,77,143,222,148,482,118,34,56,102,120,107,1129,108,158,118,79,239,57,55,78,153,73,166,222,157
12,231,395,157,413,137,254,144,62,463,72,307,111,205,457,191,173,779,162,213,173,96,77,143,222,148,482,118,34,56,102,120,107,1129,108,158,118,79,239,57,55,78,153,73,166,222,157
13,247,421,167,440,146,271,153,66,494,77,327,118,218,487,204,185,831,173,227,184,102,82,152,236,157,514,126,36,60,109,128,114,1204,115,168,126,85,255,61,58,83,163,78,177,236,167
14,278,474,188,496,164,304,172,75,556,86,368,133,246,548,229,208,935,195,256,207,115,92,172,266,177,578,142,41,68,122,144,128,1355,129,189,141,95,287,69,66,94,184,87,199,266,188
15,293,500,199,523,173,321,182,79,587,91,389,140,259,579,242,219,987,206,270,219,122,97,181,281,187,610,150,43,72,129,152,136,1430,136,200,149,101,303,73,69,99,194,92,210,281,199
16,309,526,209,551,183,338,192,83,618,96,409,148,273,609,255,231,1039,216,284,230,128,102,191,296,197,642,157,45,75,136,160,143,1505,144,210,157,106,319,76,73,104,204,97,221,296,209
17,386,658,261,689,228,423,240,104,772,120,512,185,342,762,318,289,1299,271,356,288,160,128,238,370,246,803,197,56,94,170,201,178,1882,180,263,196,133,399,96,91,130,255,121,276,370,261
18,541,921,366,964,320,592,336,146,1081,168,717,259,478,1067,446,405,1819,379,498,404,224,180,334,518,345,1124,276,79,132,239,281,250,2635,252,369,275,186,559,134,128,183,358,170,387,518,366
19,463,790,314,826,274,508,288,125,927,144,614,222,410,914,382,347,1559,325,427,346,192,154,286,444,296,964,236,68,113,204,241,214,2258,216,316,236,159,479,115,110,157,307,146,332,444,314
20,386,658,261,689,228,423,240,104,772,120,512,185,342,762,318,289,1299,271,356,288,160,128,238,370,246,803,197,56,94,170,201,178,1882,180,263,196,133,399,96,91,130,255,121,276,370,261
21,309,526,209,551,183,338,192,83,618,96,409,148,273,609,255,231,1039,216,284,230,128,102,191,296,197,642,157,45,75,136,160,143,1505,144,210,157,106,319,76,73,104,204,97,221,296,209
22,154,263,104,275,91,169,96,41,309,48,204,74,136,304,127,115,519,108,142,115,64,51,95,148,98,321,78,22,37,68,80,71,752,72,105,78,53,159,38,36,52,102,48,110,148,104
23,77,131,52,137,45,84,48,20,154,24,102,37,68,152,63,57,259,54,71,57,32,25,47,74,49,160,39,11,18,34,40,35,376,36,52,39,26,79,19,18,26,51,24,55,74,52
