hour,12TH,16TH,19TH,24TH,ASHB,BALB,BAYF,CAST,CIVC,COLM,COLS,CONC,DALY,DBRK,DELN,DUBL,EMBR,FRMT,FTVL,GLEN,HAYW,LAFY,LAKE,MCAR,MLBR,MONT,NBRK,NCON,ORIN,PHIL,PITT,PLZA,POWL,RICH,ROCK,SANL,SBRN,SFIA,SHAY,SSAN,UCTY,WCRK,WDUB,WOAK,MCAR_S,19TH_N
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,10,17,7,16,7,13,6,3,22,3,14,5,9,16,7,8,35,7,10,8,4,3,7,9,7,20,5,1,2,4,5,4,50,4,7,5,3,14,2,2,3,6,3,7,9,7
5,21,35,14,33,14,27,13,6,45,7,28,10,18,33,14,16,71,14,20,17,8,7,15,19,15,40,11,3,5,9,11,9,100,8,14,11,7,29,5,5,7,13,7,15,19,14
6,53,87,36,83,35,68,33,15,113,18,72,25,47,84,37,41,179,37,50,43,21,18,38,48,39,101,29,7,13,24,28,24,250,21,36,28,19,74,13,12,18,33,17,38,48,36
7,106,175,73,166,70,137,67,30,226,37,144,51,94,169,74,83,358,74,101,86,43,36,76,97,78,203,58,15,26,48,57,49,500,43,73,56,39,148,27,25,36,67,35,77,97,73
8,318,525,220,499,211,411,201,90,678,112,433,155,284,509,223,250,1074,224,305,260,131,109,230,293,235,609,176,47,80,146,171,148,1502,130,220,168,119,444,83,76,110,201,105,232,293,220
9,424,700,293,666,281,549,269,120,904,149,577,207,378,679,298,333,1433,299,406,347,174,145,307,391,314,813,234,62,107,194,228,197,2002,174,293,225,158,592,111,102,147,269,141,309,391,293
10,212,350,146,333,140,274,134,60,452,74,288,103,189,339,149,166,716,149,203,173,87,72,153,195,157,406,117,31,53,97,114,98,1001,87,146,112,79,296,55,51,73,134,70,154,195,146
11,159,262,110,249,105,205,100,45,339,56,216,77,142,254,111,125,537,112,152,130,65,54,115,146,117,304,88,23,40,73,85,74,751,65,110,84,59,222,41,38,55,100,52,116,146,110
12,159,262,110,249,105,205,100,45,339,56,216,77,142,254,111,125,537,112,152,130,65,54,115,146,117,304,88,23,40,73,85,74,751,65,110,84,59,222,41,38,55,100,52,116,146,110
13,169,280,117,266,112,219,107,48,361,59,231,82,151,271,119,133,573,119,162,138,69,58,123,156,125,325,93,25,43,77,91,78,801,69,117,90,63,236,44,40,58,107,56,123,156,117
14,190,315,132,299,126,247,121,54,407,67,259,93,170,305,134,150,644,134,183,156,78,65,138,176,141,365,105,28,48,87,102,88,901,78,132,101,71,266,50,46,66,121,63,139,176,132
15,201,332,139,316,133,260,127,57,429,71,274,98,179,322,141,158,680,142,193,165,83,69,146,186,149,386,111,29,51,92,108,93,951,82,139,107,75,281,53,48,69,127,67,147,186,139
16,212,350,146,333,140,274,134,60,452,74,288,103,189,339,149,166,716,149,203,173,87,72,153,195,157,406,117,31,53,97,114,98,1001,87,146,112,79,296,55,51,73,134,70,154,195,146
17,265,437,183,416,176,343,168,75,565,93,361,129,236,424,186,208,895,186,254,217,109,91,192,244,196,508,146,39,67,121,143,123,1251,108,183,140,99,370,69,63,92,168,88,193,244,183
18,371,612,257,583,246,480,235,105,791,131,505,181,331,594,261,291,1253,261,355,303,152,127,269,342,275,711,205,54,94,170,200,172,1752,152,256,197,138,518,97,89,128,235,123,270,342,257
19,318,525,220,499,211,411,201,90,678,112,433,155,284,509,223,250,1074,224,305,260,131,109,230,293,235,609,176,47,80,146,171,148,1502,130,220,168,119,444,83,76,110,201,105,232,293,220
20,265,437,183,416,176,343,168,75,565,93,361,129,236,424,186,208,895,186,254,217,109,91,192,244,196,508,146,39,67,121,143,123,1251,108,183,140,99,370,69,63,92,168,88,193,244,183
21,212,350,146,333,140,274,134,60,452,74,288,103,189,339,149,166,716,149,203,173,87,72,153,195,157,406,117,31,53,97,114,98,1001,87,146,112,79,296,55,51,73,134,70,154,195,146
22,106,175,73,166,70,137,67,30,226,37,144,51,94,169,74,83,358,74,101,86,43,36,76,97,78,203,58,15,26,48,57,49,500,43,73,56,39,148,27,25,36,67,35,77,97,73
23,53,87,36,83,35,68,33,15,113,18,72,25,47,84,37,41,179,37,50,43,21,18,38,48,39,101,29,7,13,24,28,24,250,21,36,28,19,74,13,12,18,33,17,38,48,36
