hour,12TH,16TH,19TH,24TH,ASHB,BALB,BAYF,CAST,CIVC,COLM,COLS,CONC,DALY,DBRK,DELN,DUBL,EMBR,FRMT,FTVL,GLEN,HAYW,LAFY,LAKE,MCAR,MLBR,MONT,NBRK,NCON,ORIN,PHIL,PITT,PLZA,POWL,RICH,ROCK,SANL,SBRN,SFIA,SHAY,SSAN,UCTY,WCRK,WDUB,WOAK,MCAR_S,19TH_N
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,36,33,30,34,14,31,15,7,57,11,23,16,23,37,24,20,121,22,22,20,13,10,18,25,17,109,12,7,8,18,15,12,81,10,17,15,9,21,8,8,12,18,9,17,25,30
5,72,67,61,69,28,63,31,15,114,23,46,32,47,74,48,40,243,45,45,41,26,20,36,51,34,218,25,14,16,36,31,25,162,21,34,31,19,42,17,17,24,37,18,34,51,61
6,180,168,154,172,71,159,79,37,286,59,117,81,119,187,120,101,608,113,113,102,66,52,91,127,86,545,63,35,40,91,78,64,405,54,85,78,49,106,42,44,62,94,45,86,127,154
7,360,337,309,345,143,318,158,75,573,119,234,163,239,374,240,203,1216,227,227,205,133,104,182,255,172,1091,127,71,80,182,157,128,810,109,170,156,99,212,85,89,124,188,91,172,255,309
8,1080,1013,928,1037,429,954,475,227,1719,359,702,491,717,1122,721,610,3649,682,683,616,401,312,546,767,516,3274,383,214,242,547,471,385,2430,327,510,470,297,637,257,269,374,564,273,517,767,928
9,1440,1351,1237,1383,572,1272,633,303,2293,478,937,654,957,1496,962,813,4865,910,911,821,535,416,728,1023,688,4365,511,286,323,730,628,513,3240,437,680,627,396,849,343,359,499,752,364,689,1023,1237
10,720,675,618,691,286,636,316,151,1146,239,468,327,478,748,481,406,2432,455,455,410,267,208,364,511,344,2182,255,143,161,365,314,256,1620,218,340,313,198,424,171,179,249,376,182,344,511,618
11,540,506,464,518,214,477,237,113,859,179,351,245,358,561,360,305,1824,341,341,308,200,156,273,383,258,1637,191,107,121,273,235,192,1215,163,255,235,148,318,128,134,187,282,136,258,383,464
12,540,506,464,518,214,477,237,113,859,179,351,245,358,561,360,305,1824,341,341,308,200,156,273,383,258,1637,191,107,121,273,235,192,1215,163,255,235,148,318,128,134,187,282,136,258,383,464
13,576,540,494,553,228,509,253,121,917,191,374,261,382,598,384,325,1946,364,364,328,214,166,291,409,275,1746,204,114,129,292,251,205,1296,174,272,251,158,339,137,143,199,300,145,275,409,494
14,648,608,556,622,257,572,285,136,1031,215,421,294,430,673,433,366,2189,409,410,369,240,187,327,460,309,1964,230,128,145,328,282,231,1458,196,306,282,178,382,154,161,224,338,164,310,460,556
15,684,641,587,657,271,604,301,144,1089,227,445,311,454,710,457,386,2311,432,432,390,254,197,345,486,326,2073,242,136,153,347,298,243,1539,207,323,298,188,403,163,170,237,357,173,327,486,587
16,720,675,618,691,286,636,316,151,1146,239,468,327,478,748,481,406,2432,455,455,410,267,208,364,511,344,2182,255,143,161,365,314,256,1620,218,340,313,198,424,171,179,249,376,182,344,511,618
17,900,844,773,864,357,795,396,189,1433,299,585,409,598,935,601,508,3040,568,569,513,334,260,455,639,430,2728,319,179,202,456,392,320,2025,273,425,392,247,531,214,224,312,470,227,430,639,773
18,1260,1182,1082,1210,500,1113,554,265,2006,419,820,572,837,1309,842,711,4257,796,797,718,468,364,637,895,602,3819,447,250,283,639,549,449,2835,382,595,549,346,743,300,314,437,658,318,603,895,1082
19,1080,1013,928,1037,429,954,475,227,1719,359,702,491,717,1122,721,610,3649,682,683,616,401,312,546,767,516,3274,383,214,242,547,471,385,2430,327,510,470,297,637,257,269,374,564,273,517,767,928
20,900,844,773,864,357,795,396,189,1433,299,585,409,598,935,601,508,3040,568,569,513,334,260,455,639,430,2728,319,179,202,456,392,320,2025,273,425,392,247,531,214,224,312,470,227,430,639,773
21,720,675,618,691,286,636,316,151,1146,239,468,327,478,748,481,406,2432,455,455,410,267,208,364,511,344,2182,255,143,161,365,314,256,1620,218,340,313,198,424,171,179,249,376,182,344,511,618
22,360,337,309,345,143,318,158,75,573,119,234,163,239,374,240,203,1216,227,227,205,133,104,182,255,172,1091,127,71,80,182,157,128,810,109,170,156,99,212,85,89,124,188,91,172,255,309
23,180,168,154,172,71,159,79,37,286,59,117,81,119,187,120,101,608,113,113,102,66,52,91,127,86,545,63,35,40,91,78,64,405,54,85,78,49,106,42,44,62,94,45,86,127,154
