hour,12TH,16TH,19TH,24TH,ASHB,BALB,BAYF,CAST,CIVC,COLM,COLS,CONC,DALY,DBRK,DELN,DUBL,EMBR,FRMT,FTVL,GLEN,HAYW,LAFY,LAKE,MCAR,MLBR,MONT,NBRK,NCON,ORIN,PHIL,PITT,PLZA,POWL,RICH,ROCK,SANL,SBRN,SFIA,SHAY,SSAN,UCTY,WCRK,WDUB,WOAK,MCAR_S,19TH_N
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,15,25,11,26,9,19,9,4,32,4,19,7,13,30,12,11,44,10,14,12,6,5,8,15,10,26,8,2,3,7,7,7,80,7,10,7,5,18,3,3,5,9,4,12,15,11
5,31,50,22,53,19,38,19,8,65,9,39,15,27,61,25,23,88,20,28,24,12,10,17,30,20,52,16,4,7,14,15,14,161,14,21,15,10,37,7,7,10,19,9,24,30,22
6,79,126,56,133,48,96,48,21,162,24,97,37,69,152,62,57,220,52,72,62,31,26,44,75,50,131,41,11,19,35,37,36,404,35,53,38,26,94,19,18,26,49,23,61,75,56
7,159,252,113,266,97,193,97,42,325,49,195,75,138,305,125,115,441,104,144,124,63,52,88,150,101,262,82,23,39,70,75,73,809,71,106,76,52,189,39,37,52,99,46,122,150,113
8,477,758,340,800,292,579,293,127,975,147,586,227,414,917,376,347,1324,312,432,373,190,156,265,450,304,787,247,71,118,212,225,220,2429,213,318,230,158,568,117,112,157,297,140,367,450,340
9,636,1011,454,1067,389,772,390,169,1300,197,782,302,552,1223,502,462,1766,417,576,498,254,208,354,600,406,1049,330,95,157,283,300,294,3239,285,424,307,211,758,156,150,209,396,187,489,600,454
10,318,505,227,533,194,386,195,84,650,98,391,151,276,611,251,231,883,208,288,249,127,104,177,300,203,524,165,47,78,141,150,147,1619,142,212,153,105,379,78,75,104,198,93,244,300,227
11,238,379,170,400,146,289,146,63,487,73,293,113,207,458,188,173,662,156,216,186,95,78,132,225,152,393,123,35,59,106,112,110,1214,106,159,115,79,284,58,56,78,148,70,183,225,170
12,238,379,170,400,146,289,146,63,487,73,293,113,207,458,188,173,662,156,216,186,95,78,132,225,152,393,123,35,59,106,112,110,1214,106,159,115,79,284,58,56,78,148,70,183,225,170
13,254,404,181,426,155,308,156,67,520,78,312,121,221,489,200,185,706,166,230,199,101,83,141,240,162,419,132,38,62,113,120,117,1295,114,169,122,84,303,62,60,83,158,74,195,240,181
14,286,455,204,480,175,347,175,76,585,88,352,136,248,550,226,208,794,187,259,224,114,93,159,270,182,472,148,42,70,127,135,132,1457,128,190,138,95,341,70,67,94,178,84,220,270,204
15,302,480,215,506,185,366,185,80,617,93,371,143,262,581,238,219,839,198,273,236,120,98,168,285,192,498,156,45,74,134,142,139,1538,135,201,145,100,360,74,71,99,188,88,232,285,215
16,318,505,227,533,194,386,195,84,650,98,391,151,276,611,251,231,883,208,288,249,127,104,177,300,203,524,165,47,78,141,150,147,1619,142,212,153,105,379,78,75,104,198,93,244,300,227
17,398,632,283,666,243,482,244,106,812,123,488,189,345,764,314,289,1103,260,360,311,159,130,221,375,253,655,206,59,98,176,187,183,2024,178,265,191,132,473,98,94,131,247,117,306,375,283
18,557,884,397,933,341,675,341,148,1138,172,684,264,483,1070,439,405,1545,365,504,435,222,182,310,525,355,918,289,83,137,247,263,257,2834,249,371,268,185,663,137,131,183,346,163,428,525,397
19,477,758,340,800,292,579,293,127,975,147,586,227,414,917,376,347,1324,312,432,373,190,156,265,450,304,787,247,71,118,212,225,220,2429,213,318,230,158,568,117,112,157,297,140,367,450,340
20,398,632,283,666,243,482,244,106,812,123,488,189,345,764,314,289,1103,260,360,311,159,130,221,375,253,655,206,59,98,176,187,183,2024,178,265,191,132,473,98,94,131,247,117,306,375,283
21,318,505,227,533,194,386,195,84,650,98,391,151,276,611,251,231,883,208,288,249,127,104,177,300,203,524,165,47,78,141,150,147,1619,142,212,153,105,379,78,75,104,198,93,244,300,227
22,159,252,113,266,97,193,97,42,325,49,195,75,138,305,125,115,441,104,144,124,63,52,88,150,101,262,82,23,39,70,75,73,809,71,106,76,52,189,39,37,52,99,46,122,150,113
23,79,126,56,133,48,96,48,21,162,24,97,37,69,152,62,57,220,52,72,62,31,26,44,75,50,131,41,11,19,35,37,36,404,35,53,38,26,94,19,18,26,49,23,61,75,56
