hour,12TH,16TH,19TH,24TH,ASHB,BALB,BAYF,CAST,CIVC,COLM,COLS,CONC,DALY,DBRK,DELN,DUBL,EMBR,FRMT,FTVL,GLEN,HAYW,LAFY,LAKE,MCAR,MLBR,MONT,NBRK,NCON,ORIN,PHIL,PITT,PLZA,POWL,RICH,ROCK,SANL,SBRN,SFIA,SHAY,SSAN,UCTY,WCRK,WDUB,WOAK,MCAR_S,19TH_N
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,36,33,31,36,14,34,16,7,62,12,22,16,23,35,22,20,107,22,22,22,13,10,17,25,17,103,12,7,7,18,15,12,91,11,15,15,9,21,8,9,12,18,8,18,25,31
5,72,67,62,72,29,68,32,15,125,24,45,32,47,71,45,41,215,45,44,44,26,20,35,50,35,207,24,14,15,37,31,25,183,22,31,30,19,43,17,18,24,36,17,36,50,62
6,180,167,157,180,74,171,80,38,314,61,113,82,119,179,114,103,538,113,111,110,67,50,88,126,89,517,62,36,39,94,78,63,458,55,78,77,48,108,44,45,62,91,44,90,126,157
7,360,335,314,361,149,342,160,76,628,122,227,164,238,359,229,207,1076,227,222,220,134,100,177,252,179,1035,124,73,78,188,156,127,917,110,157,154,96,216,89,91,124,183,89,181,252,314
8,1082,1007,944,1084,448,1028,482,230,1885,367,681,493,716,1078,689,621,3230,682,668,661,404,302,532,756,539,3105,373,221,234,566,468,382,2751,331,472,462,290,649,269,275,374,551,269,543,756,944
9,1443,1343,1259,1446,598,1371,643,307,2514,490,908,657,954,1437,919,829,4306,909,891,882,539,403,709,1009,719,4140,497,295,312,755,624,510,3668,442,629,617,386,865,359,367,498,735,358,724,1009,1259
10,721,671,629,723,299,685,321,153,1257,245,454,328,477,718,459,414,2153,454,445,441,269,201,354,504,359,2070,248,147,156,377,312,255,1834,221,314,308,193,432,179,183,249,367,179,362,504,629
11,541,503,472,542,224,514,241,115,942,183,340,246,358,539,344,310,1615,341,334,330,202,151,266,378,269,1552,186,110,117,283,234,191,1375,165,236,231,145,324,134,137,187,275,134,271,378,472
12,541,503,472,542,224,514,241,115,942,183,340,246,358,539,344,310,1615,341,334,330,202,151,266,378,269,1552,186,110,117,283,234,191,1375,165,236,231,145,324,134,137,187,275,134,271,378,472
13,577,537,503,578,239,548,257,122,1005,196,363,263,381,574,367,331,1722,363,356,352,215,161,283,403,287,1656,199,118,124,302,249,204,1467,176,251,246,154,346,143,146,199,294,143,289,403,503
14,649,604,566,650,269,617,289,138,1131,220,408,296,429,646,413,373,1938,409,401,396,242,181,319,454,323,1863,223,133,140,340,280,229,1651,199,283,277,174,389,161,165,224,331,161,325,454,566
15,685,638,598,687,284,651,305,145,1194,233,431,312,453,682,436,393,2045,432,423,418,256,191,337,479,341,1966,236,140,148,358,296,242,1742,210,299,293,183,411,170,174,236,349,170,344,479,598
16,721,671,629,723,299,685,321,153,1257,245,454,328,477,718,459,414,2153,454,445,441,269,201,354,504,359,2070,248,147,156,377,312,255,1834,221,314,308,193,432,179,183,249,367,179,362,504,629
17,902,839,786,904,374,857,402,192,1571,306,567,411,596,898,574,518,2691,568,557,551,337,252,443,630,449,2587,311,184,195,472,390,318,2293,276,393,385,241,541,224,229,311,459,224,452,630,786
18,1263,1175,1101,1265,523,1200,563,268,2200,429,795,575,835,1257,804,725,3768,796,779,771,472,353,621,883,629,3623,435,258,273,661,546,446,3210,387,550,539,338,757,314,321,436,643,314,633,883,1101
19,1082,1007,944,1084,448,1028,482,230,1885,367,681,493,716,1078,689,621,3230,682,668,661,404,302,532,756,539,3105,373,221,234,566,468,382,2751,331,472,462,290,649,269,275,374,551,269,543,756,944
20,902,839,786,904,374,857,402,192,1571,306,567,411,596,898,574,518,2691,568,557,551,337,252,443,630,449,2587,311,184,195,472,390,318,2293,276,393,385,241,541,224,229,311,459,224,452,630,786
21,721,671,629,723,299,685,321,153,1257,245,454,328,477,718,459,414,2153,454,445,441,269,201,354,504,359,2070,248,147,156,377,312,255,1834,221,314,308,193,432,179,183,249,367,179,362,504,629
22,360,335,314,361,149,342,160,76,628,122,227,164,238,359,229,207,1076,227,222,220,134,100,177,252,179,1035,124,73,78,188,156,127,917,110,157,154,96,216,89,91,124,183,89,181,252,314
23,180,167,157,180,74,171,80,38,314,61,113,82,119,179,114,103,538,113,111,110,67,50,88,126,89,517,62,36,39,94,78,63,458,55,78,77,48,108,44,45,62,91,44,90,126,157
