"stop_id";"abbrev"
"12TH";12
"16TH";16
"19TH";19
"24TH";24
"ASHB";"AS"
"BALB";"BP"
"BAYF";"BF"
"CAST";"CV"
"CIVC";"CC"
"COLS";"CL"
"COLM";"CM"
"CONC";"CN"
"DALY";"DC"
"DBRK";"BK"
"DUBL";"ED"
"DELN";"EN"
"PLZA";"EP"
"EMBR";"EM"
"FRMT";"FM"
"FTVL";"FV"
"GLEN";"GP"
"HAYW";"HY"
"LAFY";"LF"
"LAKE";"LM"
"MCAR";"MA"
"MLBR";"MB"
"MONT";"MT"
"NBRK";"NB"
"NCON";"NC"
"ORIN";"OR"
"PITT";"WP"
"PHIL";"PH"
"POWL";"PL"
"RICH";"RM"
"ROCK";"RR"
"SBRN";"SB"
"SFIA";"SO"
"SANL";"SL"
"SHAY";"SH"
"SSAN";"SS"
"UCTY";"UC"
"WCRK";"WC"
"WDUB";"WD"
"WOAK";"OW"
